Model,dataset,Morphology,Operation,Kernel Size,DPSGD,epsilon,synthetic_data,shadow_threshold
NestedUNet,UMNData,True,open,3,True,0.1,False,0.25854489607971254
NestedUNet,UMNData,True,close,3,True,8.0,False,0.255273854281722
NestedUNet,UMNData,True,open,3,True,0.5,False,0.25675161721325723
NestedUNet,UMNData,False,,,True,8.0,False,0.25553847511275474
NestedUNet,UMNData,False,,,True,0.5,False,0.2572518379247489
NestedUNet,UMNData,True,open,3,False,,False,0.2573598435445994
NestedUNet,UMNData,True,open,3,True,0.5,False,0.2563759000862346
NestedUNet,UMNData,True,close,3,True,8.0,False,0.25726495946154876
NestedUNet,UMNData,False,,,True,0.5,False,0.2561873009725779
NestedUNet,UMNData,False,,,False,,False,0.25592136883936006
NestedUNet,UMNData,True,close,3,False,,False,0.2555632338303478
NestedUNet,UMNData,True,both,3,True,8.0,False,0.25606611972095583
NestedUNet,UMNData,False,,,True,8.0,False,0.25609351131094604
NestedUNet,UMNData,True,both,3,False,,False,0.2562329906876348
NestedUNet,UMNData,True,close,3,True,8.0,False,0.2554214981173267
NestedUNet,UMNData,True,open,3,True,0.5,False,0.25782803427271483
NestedUNet,UMNData,True,close,3,False,,False,0.2555819131246134
NestedUNet,UMNData,False,,,False,,False,0.2554730990854632
NestedUNet,UMNData,True,both,3,True,0.1,False,0.25808746273778066
NestedUNet,UMNData,True,open,3,False,,False,0.2554615866236326
NestedUNet,UMNData,True,both,3,True,0.5,False,0.2564669819940038
NestedUNet,UMNData,True,close,3,True,8.0,False,0.25596401821665404
NestedUNet,UMNData,True,close,3,True,0.5,False,0.25769776932331695
NestedUNet,UMNData,True,both,3,True,0.5,False,0.2561410238512424
NestedUNet,UMNData,True,close,3,True,0.5,False,0.2554617115930349
